 **Key** , **Description** , **ServiceNow FSM Equivalent** , **TMF 623 Reference** , **Example Value** , **Purpose** 
 `id` , Unique identifier for the work order. ," `number` (e.g., WMO0001234) ", ServiceOrder.id ," ""SO12345"" ", Tracks the work order in WFM and OSM. 
 `href` , API endpoint for the work order. , N/A , ServiceOrder.href ," ""/api/now/table/wm_order/SO12345"" ", Provides a reference for API interactions. 
 `externalId` ," External system reference ID (e.g., OSM ID). ", `correlation_id` , ServiceOrder.externalId ," ""OSM-123"" ", Links to OSM for traceability. 
 `priority` , Priority level of the task. ," `priority` (e.g., High, Medium) ", ServiceOrder.priority ," ""High"" ", Determines urgency for scheduling. 
 `category` , Type of task. , `order_type` , ServiceOrder.category ," ""FiberInstallation"" ", Specifies the task as fiber-related. 
 `state` , Current status of the work order. ," `state` (e.g., Open, In Progress) ", ServiceOrder.state ," ""acknowledged"" ", Tracks progress in the workflow. 
 `orderDate` , Date the order was created. , `opened_at` , ServiceOrder.orderDate ," ""2025-08-08T10000Z"" ", Records creation timestamp. 
 `requestedCompletionDate` , Target completion date. , `due_date` , ServiceOrder.requestedCompletionDate ," ""2025-08-10T17000Z"" ", Guides scheduling and deadlines. 
 `description` , Brief description of the task. , `short_description` , ServiceOrder.description ," ""Install FTTH fiber for new customer"" ", Provides context for the task. 
 `relatedParty.id` (Customer) , Customer identifier. , `caller_id` or `customer_id` , ServiceOrder.relatedParty.id ," ""CUST123"" ", Links to customer in CRM. 
 `relatedParty.name` (Customer) , Customer name. , `caller_id.name` , ServiceOrder.relatedParty.name ," ""John Doe"" ", Identifies the customer. 
 `relatedParty.id` (Technician) , Technician identifier. , `assigned_to` , ServiceOrder.relatedParty.id ," ""TECH456"" ", Assigns the technician. 
 `relatedParty.name` (Technician) , Technician name. , `assigned_to.name` , ServiceOrder.relatedParty.name ," ""Jane Smith"" ", Identifies the assigned technician. 
 `serviceOrderItem.id` , Unique ID for the service item. , `task_id` , ServiceOrderItem.id ," ""ITEM789"" ", Tracks specific service tasks. 
 `serviceOrderItem.action` ," Action to perform (e.g., add, modify). ", N/A , ServiceOrderItem.action ," ""add"" ", Specifies the operation type. 
 `service.id` , Service identifier. , N/A , ServiceOrderItem.service.id ," ""SVC123"" ", Links to the service in OSM/UIM. 
 `service.category` , Service category. , `service_type` , ServiceOrderItem.service.category ," ""Broadband"" ", Categorizes the service. 
 `service.serviceType` , Specific service type. , N/A , ServiceOrderItem.service.serviceType ," ""Fiber"" ", Specifies fiber service. 
 `serviceCharacteristic.name` (Bandwidth) , Service attribute name. , `custom_field` , ServiceOrderItem.service.serviceCharacteristic.name ," ""Bandwidth"" ", Defines service attribute. 
 `serviceCharacteristic.value` (Bandwidth) , Bandwidth value. , `custom_field_value` , ServiceOrderItem.service.serviceCharacteristic.value ," ""1Gbps"" ", Specifies bandwidth requirement. 
 `serviceCharacteristic.name` (ConnectionType) , Connection type attribute. , `custom_field` , ServiceOrderItem.service.serviceCharacteristic.name ," ""ConnectionType"" ", Defines connection attribute. 
 `serviceCharacteristic.value` (ConnectionType) , Connection type value. , `custom_field_value` , ServiceOrderItem.service.serviceCharacteristic.value ," ""FTTH"" ", Specifies fiber-to-the-home. 
 `serviceCharacteristic.name` (SplicingRequired) , Splicing requirement attribute. , `custom_field` , ServiceOrderItem.service.serviceCharacteristic.name ," ""SplicingRequired"" ", Defines fiber-specific task. 
 `serviceCharacteristic.value` (SplicingRequired) , Splicing requirement value. , `custom_field_value` , ServiceOrderItem.service.serviceCharacteristic.value ," ""true"" ", Indicates if splicing is needed. 
 `place.id` , Location identifier. , `location` , ServiceOrderItem.service.place.id ," ""LOC789"" ", Identifies installation site. 
 `place.street` , Street address. , `location.street` , ServiceOrderItem.service.place.street ," ""123 Fiber St"" ", Specifies installation address. 
 `place.city` , City of installation. , `location.city` , ServiceOrderItem.service.place.city ," ""New York"" ", Part of address details. 
 `place.postalCode` , Postal code. , `location.postal_code` , ServiceOrderItem.service.place.postalCode ," ""10001"" ", Part of address details. 
 `place.country` , Country of installation. , `location.country` , ServiceOrderItem.service.place.country ," ""USA"" ", Part of address details. 
 `place.geographicLocation.latitude` , Latitude of the site. , `location.latitude` , ServiceOrderItem.service.place.geographicLocation.latitude ," ""40.7128"" ", Enables GIS integration. 
 `place.geographicLocation.longitude` , Longitude of the site. , `location.longitude` , ServiceOrderItem.service.place.geographicLocation.longitude ," ""-74.0060"" ", Enables GIS integration. 
 `note.text` , Additional instructions. , `work_notes` , ServiceOrder.note.text ," ""Ensure splicing meets standards"" ", Provides technician guidance. 
 `note.date` , Note creation date. , `work_notes_date` , ServiceOrder.note.date ," ""2025-08-08T10000Z"" ", Tracks note timestamp. 
 `note.author` , Note author. , `work_notes_author` , ServiceOrder.note.author ," ""OSM System"" ", Identifies note creator. 
 `orderRelationship.id` , Parent order ID. , `parent` , ServiceOrder.orderRelationship.id ," ""POSM456"" ", Links to parent order in OSM. 
 `orderRelationship.relationshipType` , Relationship type. , N/A , ServiceOrder.orderRelationship.relationshipType ," ""dependsOn"" ", Specifies dependency type. 
